Komoditas ,Beras,Telur Ayam,Cabai Rawit,Minyak Goreng
Nov  2020 (III),"13,450","30,550","72,200","15,750"
Nov  2020 (IV),"13,450","31,700","73,300","15,750"
Dec  2020 (I),"13,500","32,950","75,800","15,750"
Dec  2020 (II),"13,500","33,450","90,250","15,750"
Dec  2020 (III),"13,500","34,450","86,300","15,750"
Dec  2020 (IV),"13,500","35,150","79,450","15,750"
Jan  2021 (I),"13,500","35,650","74,550","15,850"
Jan  2021 (II),"13,500","33,650","71,400","15,800"
Jan  2021 (III),"13,500","32,800","72,000","15,800"
Jan  2021 (IV),"13,500","32,050","68,800","15,800"
Feb  2021 (V),"13,500","31,650","67,700","15,800"
Feb  2021 (I),"13,500","30,800","77,800","15,800"
Feb  2021 (II),"13,550","30,950","81,150","15,800"
Feb  2021 (III),"13,500","31,550","92,400","15,800"
Mar  2021 (V),"13,500","32,000","100,050","15,850"
Mar  2021 (I),"13,500","32,250","102,650","15,950"
Mar  2021 (II),"13,500","32,200","106,300","15,950"
Mar  2021 (III),"13,450","31,800","109,950","15,950"
Mar  2021 (IV),"13,300","31,450","116,650","16,050"
Apr  2021 (I),"13,300","30,800","111,650","16,050"
Apr  2021 (II),"13,300","30,550","107,550","16,050"
Apr  2021 (III),"13,300","30,900","105,300","16,050"
Apr  2021 (IV),"13,300","31,150","101,250","16,050"
May  2021 (I),"13,300","33,000","109,400","16,050"
May  2021 (II),"13,300","32,750","116,900","15,900"
May  2021 (III),"13,300","32,050","142,050","15,950"
May  2021 (IV),"13,300","31,650","108,450","16,100"
May  2021 (V),"13,300","31,050","97,800","16,100"
Jun  2021 (I),"13,300","31,650","98,450","16,000"
Jun  2021 (II),"13,250","32,150","95,000","16,150"
Jun  2021 (III),"13,250","32,150","95,000","16,150"
Jun  2021 (IV),"13,250","32,150","103,450","16,150"
Jul  2021 (I),"13,250","31,500","108,400","16,400"
Jul  2021 (II),"13,200","31,500","106,400","16,400"
Jul  2021 (III),"13,200","30,700","106,250","16,350"
Jul  2021 (IV),"13,150","30,450","97,650","16,350"
Aug  2021 (V),"13,200","31,000","85,300","16,350"
Aug  2021 (I),"13,200","31,550","78,900","16,550"
Aug  2021 (II),"13,200","31,800","76,250","16,700"
Aug  2021 (III),"13,050","31,200","69,450","16,950"
Aug  2021 (IV),"13,050","31,050","72,800","16,950"
Sep  2021 (I),"13,050","30,150","74,700","16,900"
Sep  2021 (II),"13,050","30,200","65,650","16,900"
Sep  2021 (III),"13,050","30,050","58,750","16,900"
Sep  2021 (IV),"13,150","30,800","55,150","16,850"
Oct  2021 (I),"13,150","30,000","60,650","16,850"
Oct  2021 (II),"13,150","30,150","58,750","17,000"
Oct  2021 (III),"13,100","29,900","55,200","17,000"
Oct  2021 (IV),"13,100","30,500","55,650","17,050"
Nov  2021 (V),"13,150","29,750","54,250","17,650"
Nov  2021 (I),"13,150","30,050","55,300","17,850"
Nov  2021 (II),"13,150","30,150","55,150","18,400"
Nov  2021 (III),"13,150","31,050","55,000","18,900"
Nov  2021 (IV),"13,150","31,750","56,500","18,900"
Dec  2021 (I),"13,150","31,900","67,200","18,950"
Dec  2021 (II),"13,150","31,800","79,400","19,300"
Dec  2021 (III),"13,200","31,650","83,450","20,150"
Dec  2021 (IV),"13,200","33,900","94,050","20,900"
Jan  2022 (I),"13,200","33,550","81,900","20,950"
Jan  2022 (II),"13,200","35,450","81,250","20,950"
Jan  2022 (III),"13,200","34,200","71,250","20,950"
Jan  2022 (IV),"13,200","29,300","69,450","20,950"
Jan  2022 (V),"13,200","32,650","64,500","20,300"
Feb  2022 (I),"13,200","31,400","65,950","18,150"
Feb  2022 (II),"13,250","30,550","66,450","19,400"
Feb  2022 (III),"13,300","30,150","88,450","20,500"
Feb  2022 (IV),,,,
Mar  2022 (I),"13,300","31,200","101,650","20,400"
Mar  2022 (II),"13,300","31,300","97,200","20,600"
Mar  2022 (III),"13,300","32,250","98,300","24,500"
Mar  2022 (IV),"13,300","28,550","93,150","28,200"
Apr  2022 (I),"13,450","32,200","93,150","27,550"
Apr  2022 (II),"13,450","32,650","88,750","28,650"
Apr  2022 (III),"13,450","32,650","90,950","29,250"
Apr  2022 (IV),"13,450","32,650","84,700","29,750"
May  2022 (V),,,,
May  2022 (I),"13,450","32,350","80,650","32,900"
May  2022 (II),,,,
May  2022 (III),"13,500","33,250","81,900","32,900"
May  2022 (IV),"13,500","33,950","90,900","31,550"
Jun  2022 (I),"13,500","34,500","96,300","30,700"
Jun  2022 (II),"13,450","34,100","94,050","30,600"
Jun  2022 (III),"13,500","34,400","92,800","30,700"
Jun  2022 (IV),"13,500","34,500","93,150","30,850"
Jul  2022 (I),"13,500","34,950","86,250","31,000"
Jul  2022 (II),"13,400","35,200","87,400","30,400"
Jul  2022 (III),"13,500","34,900","89,400","30,200"
Jul  2022 (IV),"13,500","34,900","81,250","30,200"
Aug  2022 (V),"13,550","35,000","83,150","29,700"
Aug  2022 (I),"13,350","34,950","81,500","27,500"
Aug  2022 (II),"13,350","34,400","83,150","27,250"
Aug  2022 (III),"13,400","34,900","83,750","26,050"
Aug  2022 (IV),"13,400","34,500","74,250","25,700"
Sep  2022 (I),"13,400","37,800","71,250","25,900"
Sep  2022 (II),"13,400","37,900","75,650","23,400"
Sep  2022 (III),"13,400","37,150","73,450","23,200"
Sep  2022 (IV),"13,400","35,650","71,300","23,500"
Oct  2022 (I),"13,400","34,950","69,500","21,950"
Oct  2022 (II),"13,400","34,450","84,400","22,250"
Oct  2022 (III),"13,250","33,300","82,200","22,150"
Oct  2022 (IV),"13,200","33,150","76,900","21,400"
Oct  2022 (V),"13,200","33,900","71,650","20,950"
Nov  2022 (I),"13,200","34,050","71,900","20,950"
Nov  2022 (II),"13,200","33,450","71,550","20,950"
Nov  2022 (III),"13,250","33,200","68,450","20,900"
Nov  2022 (IV),"13,200","33,750","65,950","20,850"
Dec  2022 (I),"13,250","34,050","70,200","20,850"
Dec  2022 (II),"13,250","35,500","78,750","20,850"
Dec  2022 (III),"13,250","36,450","77,500","20,850"
Dec  2022 (IV),"13,250","36,650","92,950","21,100"
Jan  2023 (V),"13,300","36,650","91,800","21,300"
Jan  2023 (I),"13,650","36,700","81,250","21,300"
Jan  2023 (II),"13,800","35,700","82,450","20,700"
Jan  2023 (III),"14,050","35,000","84,300","20,750"
Jan  2023 (IV),"14,050","35,200","80,000","20,700"
Feb  2023 (I),"14,100","35,150","79,400","20,750"
Feb  2023 (II),"14,150","35,150","76,550","20,750"
Feb  2023 (III),"14,150","35,150","72,800","20,750"
Feb  2023 (IV),"14,150","34,900","67,800","20,900"
Mar  2023 (I),"14,150","34,700","67,200","20,900"
Mar  2023 (II),"14,150","34,250","71,400","20,900"
Mar  2023 (III),"14,150","34,500","71,900","20,900"
Mar  2023 (IV),"14,200","34,900","77,200","20,950"
Apr  2023 (I),"14,250","35,500","73,400","20,950"
Apr  2023 (II),"14,250","35,800","77,800","20,950"
Apr  2023 (III),"14,300","35,950","79,700","20,950"
Apr  2023 (IV),,,,
May  2023 (V),,,,
May  2023 (I),"14,400","35,400","80,300","21,000"
May  2023 (II),"14,400","35,300","89,050","20,950"
May  2023 (III),"14,400","35,150","88,750","20,950"
May  2023 (IV),"14,700","36,650","83,750","20,950"
